Campaign,Channel,Date,Impressions,Clicks,Leads,Conversions,Spend,CTR,CPC,CPL,CPA,ConversionRate,LeadRate,Revenue,ROAS,Country,Device,AgeGroup,Gender,AdSet,Creative,UTM_Source,UTM_Medium
Summer Fest,Instagram,2025-09-14,76026,7673,464,145,6445.3,10.09,0.84,13.89,44.45,31.25,6.05,591621.27,91.79,UK,Mobile,25-34,Other,App Users,Video Creative B,instagram,organic
New Year Promo,YouTube,2025-08-26,16932,226,28,8,12319.48,1.33,54.51,439.98,1539.93,28.57,12.39,8035.35,0.65,UAE,Tablet,35-44,Other,Retargeting,Static Image 1,instagram,cpc
Summer Fest,LinkedIn,2025-10-31,136790,11557,5001,866,12347.33,8.45,1.07,2.47,14.26,17.32,43.27,1837282.46,148.8,UK,Mobile,18-24,Other,Website Visitors,Static Image 2,google,paid_social
Back to School,YouTube,2025-08-18,192343,1117,116,54,28913.4,0.58,25.88,249.25,535.43,46.55,10.38,81877.39,2.83,USA,Mobile,45-54,Male,App Users,Carousel Ad,instagram,cpc
Freedom Sale,LinkedIn,2025-10-30,96689,1690,403,170,2517.64,1.75,1.49,6.25,14.81,42.18,23.85,575904.6,228.75,UAE,Desktop,55+,Female,Retargeting,Static Image 2,youtube,cpc
Freedom Sale,Instagram,2025-07-21,36633,2521,120,29,15949.94,6.88,6.33,132.92,550.0,24.17,4.76,45658.02,2.86,USA,Tablet,18-24,Other,Retargeting,Carousel Ad,linkedin,paid_social
Freedom Sale,Instagram,2025-11-13,177363,2543,1059,533,9828.37,1.43,3.86,9.28,18.44,50.33,41.64,2463708.13,250.67,UK,Mobile,45-54,Female,Warm Audience,Video Creative B,facebook,display
Diwali Blast Sale,LinkedIn,2025-07-19,64766,6295,119,28,21784.48,9.72,3.46,183.06,778.02,23.53,1.89,41205.25,1.89,UK,Mobile,55+,Male,App Users,Static Image 1,youtube,display
New Year Promo,Google Ads,2025-09-18,180886,15077,1754,176,31569.49,8.34,2.09,18.0,179.37,10.03,11.63,868877.24,27.52,Singapore,Tablet,35-44,Other,Website Visitors,Static Image 1,instagram,cpc
Summer Fest,YouTube,2025-11-14,124467,4803,587,155,15899.2,3.86,3.31,27.09,102.58,26.41,12.22,331361.5,20.84,India,Tablet,55+,Other,Warm Audience,Carousel Ad,instagram,cpc
Back to School,Facebook,2025-07-26,194054,3368,286,148,17623.78,1.74,5.23,61.62,119.08,51.75,8.49,142724.78,8.1,UK,Mobile,45-54,Other,Retargeting,Reel Format,google,cpc
Back to School,Instagram,2025-09-15,25771,978,461,136,28375.39,3.79,29.01,61.55,208.64,29.5,47.14,659491.69,23.24,USA,Tablet,18-24,Female,Website Visitors,Carousel Ad,google,cpc
Big Weekend Push,Facebook,2025-09-17,28005,2847,519,174,23312.19,10.17,8.19,44.92,133.98,33.53,18.23,226205.5,9.7,UK,Tablet,45-54,Male,High Intent Segment,Video Creative A,linkedin,display
New Year Promo,Facebook,2025-07-31,12264,1198,549,162,4551.47,9.77,3.8,8.29,28.1,29.51,45.83,227476.54,49.98,UAE,Mobile,25-34,Female,Cold Lookalike,Video Creative A,youtube,organic
Freedom Sale,Google Ads,2025-09-10,195774,17653,5938,3118,33189.86,9.02,1.88,5.59,10.64,52.51,33.64,4117802.5,124.07,India,Tablet,25-34,Other,Cold Lookalike,Video Creative B,instagram,paid_social
Freedom Sale,Google Ads,2025-10-10,134597,5021,1003,419,29384.27,3.73,5.85,29.3,70.13,41.77,19.98,1627036.46,55.37,India,Desktop,35-44,Male,High Intent Segment,Video Creative B,facebook,cpc
Back to School,LinkedIn,2025-09-25,140213,1313,66,28,12147.24,0.94,9.25,184.05,433.83,42.42,5.03,28495.13,2.35,UK,Desktop,45-54,Male,Website Visitors,Video Creative A,facebook,organic
Summer Fest,Google Ads,2025-10-22,45587,3038,1235,683,18903.53,6.66,6.22,15.31,27.68,55.3,40.65,984741.42,52.09,UK,Desktop,18-24,Male,Warm Audience,Video Creative B,facebook,display
Freedom Sale,Google Ads,2025-08-07,54196,697,259,3,15990.17,1.29,22.94,61.74,5330.06,1.16,37.16,11968.33,0.75,UAE,Tablet,35-44,Other,Warm Audience,Reel Format,youtube,cpc
Freedom Sale,Instagram,2025-07-31,51750,2391,1044,386,14814.61,4.62,6.2,14.19,38.38,36.97,43.66,1123731.35,75.85,UK,Tablet,35-44,Other,High Intent Segment,Video Creative A,facebook,cpc
New Year Promo,Google Ads,2025-08-21,37349,2833,433,120,751.72,7.59,0.27,1.74,6.26,27.71,15.28,78263.24,104.11,Singapore,Desktop,25-34,Male,High Intent Segment,Static Image 2,google,cpc
Freedom Sale,LinkedIn,2025-08-15,71851,4237,1414,223,8878.78,5.9,2.1,6.28,39.82,15.77,33.37,257228.89,28.97,UK,Tablet,55+,Male,Retargeting,Static Image 2,linkedin,organic
Big Weekend Push,LinkedIn,2025-09-14,11958,1365,507,19,25945.27,11.41,19.01,51.17,1365.54,3.75,37.14,33235.9,1.28,UAE,Tablet,25-34,Male,App Users,Static Image 2,facebook,organic
Big Weekend Push,Instagram,2025-08-22,59549,2053,992,406,28961.44,3.45,14.11,29.2,71.33,40.93,48.32,420178.7,14.51,UAE,Mobile,25-34,Male,High Intent Segment,Video Creative A,linkedin,cpc
Big Weekend Push,Instagram,2025-08-12,102337,8741,1805,183,20138.3,8.54,2.3,11.16,110.05,10.14,20.65,899813.32,44.68,Singapore,Desktop,18-24,Female,High Intent Segment,Static Image 2,facebook,organic
Diwali Blast Sale,Instagram,2025-08-09,45245,2964,981,232,12578.04,6.55,4.24,12.82,54.22,23.65,33.1,129940.28,10.33,Singapore,Desktop,45-54,Female,Retargeting,Reel Format,linkedin,organic
Back to School,Instagram,2025-11-13,127594,2114,558,117,26960.32,1.66,12.75,48.32,230.43,20.97,26.4,310202.78,11.51,UK,Tablet,25-34,Male,Retargeting,Reel Format,instagram,organic
Back to School,LinkedIn,2025-10-18,120893,10230,3543,1933,21117.52,8.46,2.06,5.96,10.92,54.56,34.63,5328827.58,252.34,UK,Mobile,35-44,Other,Website Visitors,Static Image 2,facebook,organic
Freedom Sale,LinkedIn,2025-09-11,131426,6793,214,121,8998.65,5.17,1.32,42.05,74.37,56.54,3.15,203900.85,22.66,UK,Desktop,55+,Other,Website Visitors,Carousel Ad,google,paid_social
New Year Promo,Google Ads,2025-08-02,198635,13953,4350,2584,9120.39,7.02,0.65,2.1,3.53,59.4,31.18,7710560.78,845.42,India,Mobile,18-24,Female,High Intent Segment,Static Image 1,facebook,cpc
Diwali Blast Sale,LinkedIn,2025-09-12,152560,6407,1616,733,20954.45,4.2,3.27,12.97,28.59,45.36,25.22,2439721.62,116.43,Singapore,Mobile,55+,Other,Warm Audience,Reel Format,instagram,organic
Summer Fest,YouTube,2025-08-09,101526,9825,4017,1190,28232.27,9.68,2.87,7.03,23.72,29.62,40.89,2610146.18,92.45,India,Tablet,25-34,Female,App Users,Video Creative A,linkedin,display
Diwali Blast Sale,LinkedIn,2025-08-16,62680,1895,636,363,9562.19,3.02,5.05,15.03,26.34,57.08,33.56,238402.65,24.93,UK,Tablet,35-44,Male,App Users,Static Image 1,instagram,paid_social
New Year Promo,LinkedIn,2025-09-04,180662,2869,916,251,22821.11,1.59,7.95,24.91,90.92,27.4,31.93,606150.79,26.56,USA,Mobile,18-24,Male,Retargeting,Video Creative B,facebook,display
Freedom Sale,Facebook,2025-08-07,21903,2410,420,39,26336.2,11.0,10.93,62.71,675.29,9.29,17.43,31578.75,1.2,USA,Tablet,25-34,Male,Retargeting,Static Image 2,facebook,display
Freedom Sale,Google Ads,2025-10-01,115129,5237,1679,161,14067.28,4.55,2.69,8.38,87.37,9.59,32.06,542617.29,38.57,India,Mobile,55+,Other,App Users,Static Image 1,linkedin,display
Summer Fest,LinkedIn,2025-09-13,130250,442,192,48,26455.27,0.34,59.85,137.79,551.15,25.0,43.44,121142.67,4.58,Singapore,Mobile,45-54,Other,High Intent Segment,Reel Format,youtube,paid_social
Summer Fest,Facebook,2025-07-22,58745,417,197,22,6533.27,0.71,15.67,33.16,296.97,11.17,47.24,96924.69,14.84,UAE,Tablet,18-24,Male,High Intent Segment,Static Image 1,facebook,display
Back to School,YouTube,2025-08-18,176103,19036,4704,1067,20571.22,10.81,1.08,4.37,19.28,22.68,24.71,1562026.93,75.93,USA,Tablet,45-54,Other,High Intent Segment,Video Creative A,linkedin,paid_social
Diwali Blast Sale,LinkedIn,2025-10-10,182495,9769,669,37,24070.24,5.35,2.46,35.98,650.55,5.53,6.85,97199.2,4.04,India,Tablet,55+,Other,Website Visitors,Static Image 2,google,paid_social
New Year Promo,Instagram,2025-10-13,154170,11231,3092,954,19332.29,7.28,1.72,6.25,20.26,30.85,27.53,4178023.56,216.12,UK,Tablet,45-54,Male,Cold Lookalike,Video Creative A,linkedin,paid_social
Freedom Sale,Instagram,2025-10-29,68747,823,149,83,9611.68,1.2,11.68,64.51,115.8,55.7,18.1,241677.7,25.14,USA,Desktop,55+,Female,Cold Lookalike,Static Image 2,facebook,paid_social
Diwali Blast Sale,Facebook,2025-11-14,118571,3614,158,50,16298.13,3.05,4.51,103.15,325.96,31.65,4.37,83981.74,5.15,USA,Mobile,35-44,Male,Retargeting,Reel Format,facebook,display
Big Weekend Push,Facebook,2025-10-04,47522,5124,1580,13,9977.92,10.78,1.95,6.32,767.53,0.82,30.84,27466.37,2.75,UK,Mobile,45-54,Other,Retargeting,Video Creative A,linkedin,display
Big Weekend Push,YouTube,2025-10-16,142003,9998,319,33,26652.45,7.04,2.67,83.55,807.65,10.34,3.19,130593.93,4.9,Singapore,Tablet,18-24,Female,Website Visitors,Video Creative A,google,paid_social
Back to School,Google Ads,2025-10-29,163766,11837,2603,985,10949.19,7.23,0.92,4.21,11.12,37.84,21.99,1967774.95,179.72,USA,Desktop,45-54,Male,Warm Audience,Static Image 2,facebook,cpc
Freedom Sale,Google Ads,2025-10-24,109342,912,156,19,4317.51,0.83,4.73,27.68,227.24,12.18,17.11,49147.68,11.38,Singapore,Mobile,55+,Female,Website Visitors,Video Creative B,instagram,display
New Year Promo,Facebook,2025-09-01,177896,16818,253,103,33799.41,9.45,2.01,133.59,328.15,40.71,1.5,289405.76,8.56,India,Desktop,18-24,Male,Retargeting,Carousel Ad,google,cpc
Diwali Blast Sale,Instagram,2025-09-02,90849,4368,1059,620,9729.93,4.81,2.23,9.19,15.69,58.55,24.24,1391760.91,143.04,UK,Tablet,18-24,Male,Warm Audience,Static Image 1,linkedin,display
New Year Promo,Instagram,2025-07-27,185175,17515,1374,292,26235.13,9.46,1.5,19.09,89.85,21.25,7.84,236760.64,9.02,India,Desktop,18-24,Other,High Intent Segment,Video Creative B,youtube,organic
Big Weekend Push,Facebook,2025-10-10,112147,1038,461,244,30431.55,0.93,29.32,66.01,124.72,52.93,44.41,498866.85,16.39,UAE,Desktop,55+,Female,Retargeting,Video Creative B,instagram,organic
Back to School,LinkedIn,2025-08-16,46607,5238,2612,85,26294.17,11.24,5.02,10.07,309.34,3.25,49.87,408342.77,15.53,India,Tablet,35-44,Male,High Intent Segment,Carousel Ad,google,organic
Summer Fest,YouTube,2025-11-10,186654,18576,6934,3179,7198.7,9.95,0.39,1.04,2.26,45.85,37.33,14790836.61,2054.65,UK,Mobile,18-24,Female,Cold Lookalike,Video Creative A,instagram,display
New Year Promo,Instagram,2025-11-01,74137,8708,2218,999,29705.93,11.75,3.41,13.39,29.74,45.04,25.47,2569779.44,86.51,Singapore,Tablet,18-24,Other,Warm Audience,Reel Format,instagram,paid_social
Diwali Blast Sale,Google Ads,2025-11-05,138216,7542,1724,816,3000.61,5.46,0.4,1.74,3.68,47.33,22.86,1666742.12,555.47,UAE,Desktop,18-24,Male,High Intent Segment,Reel Format,youtube,organic
Big Weekend Push,Google Ads,2025-10-31,122996,152,61,20,7793.5,0.12,51.27,127.76,389.68,32.79,40.13,20606.4,2.64,USA,Desktop,45-54,Female,Warm Audience,Reel Format,google,cpc
Big Weekend Push,YouTube,2025-11-04,179245,852,167,74,16444.2,0.48,19.3,98.47,222.22,44.31,19.6,246695.81,15.0,UAE,Mobile,45-54,Male,Website Visitors,Carousel Ad,instagram,paid_social
Back to School,YouTube,2025-07-28,138293,3900,1311,780,15137.84,2.82,3.88,11.55,19.41,59.5,33.62,3588454.43,237.05,UAE,Mobile,45-54,Female,Website Visitors,Static Image 1,youtube,cpc
Summer Fest,LinkedIn,2025-07-21,123380,6937,2681,189,13593.73,5.62,1.96,5.07,71.92,7.05,38.65,752928.43,55.39,UAE,Desktop,55+,Male,Retargeting,Video Creative B,youtube,cpc
Back to School,YouTube,2025-08-03,100393,6709,2383,579,34706.51,6.68,5.17,14.56,59.94,24.3,35.52,2485511.1,71.62,USA,Tablet,45-54,Other,Cold Lookalike,Video Creative B,youtube,display
Big Weekend Push,Facebook,2025-07-26,170304,12298,5691,584,7270.6,7.22,0.59,1.28,12.45,10.26,46.28,835987.42,114.98,USA,Desktop,45-54,Male,Website Visitors,Static Image 1,facebook,organic
New Year Promo,Facebook,2025-09-02,41894,352,95,39,17773.72,0.84,50.49,187.09,455.74,41.05,26.99,82744.3,4.66,UK,Mobile,25-34,Female,Website Visitors,Video Creative A,facebook,organic
Big Weekend Push,Instagram,2025-11-11,178663,680,261,50,32519.04,0.38,47.82,124.59,650.38,19.16,38.38,148374.68,4.56,Singapore,Tablet,35-44,Female,App Users,Static Image 2,facebook,organic
Freedom Sale,Instagram,2025-08-24,182532,2242,933,89,10131.19,1.23,4.52,10.86,113.83,9.54,41.61,285017.39,28.13,USA,Tablet,18-24,Female,Warm Audience,Reel Format,youtube,display
Summer Fest,YouTube,2025-08-22,24806,1154,200,94,11221.2,4.65,9.72,56.11,119.37,47.0,17.33,410596.75,36.59,USA,Mobile,35-44,Male,Website Visitors,Video Creative B,youtube,cpc
Back to School,Facebook,2025-09-20,9054,586,14,3,1295.93,6.47,2.21,92.57,431.98,21.43,2.39,9774.81,7.54,UAE,Tablet,35-44,Other,Cold Lookalike,Static Image 2,linkedin,organic
Summer Fest,YouTube,2025-11-01,22313,275,65,26,26588.4,1.23,96.69,409.05,1022.63,40.0,23.64,48266.63,1.82,UK,Tablet,55+,Other,Retargeting,Carousel Ad,facebook,cpc
Freedom Sale,YouTube,2025-08-17,168604,599,142,57,13489.75,0.36,22.52,95.0,236.66,40.14,23.71,117208.4,8.69,UAE,Desktop,35-44,Female,Warm Audience,Static Image 1,google,display
Back to School,Facebook,2025-09-23,7952,667,285,46,23354.97,8.39,35.01,81.95,507.72,16.14,42.73,73388.95,3.14,UAE,Desktop,18-24,Female,High Intent Segment,Video Creative B,google,cpc
Summer Fest,YouTube,2025-11-11,121453,1246,90,53,5652.19,1.03,4.54,62.8,106.65,58.89,7.22,199648.9,35.32,India,Tablet,25-34,Male,Warm Audience,Static Image 2,facebook,organic
Back to School,YouTube,2025-08-28,145164,17125,2995,359,29282.99,11.8,1.71,9.78,81.57,11.99,17.49,1651213.99,56.39,UAE,Tablet,18-24,Female,Retargeting,Carousel Ad,linkedin,paid_social
Big Weekend Push,Facebook,2025-07-30,65794,6755,1601,549,20539.29,10.27,3.04,12.83,37.41,34.29,23.7,1405466.03,68.43,USA,Desktop,18-24,Male,App Users,Video Creative A,google,cpc
Diwali Blast Sale,Facebook,2025-09-22,173116,13479,268,26,13683.36,7.79,1.02,51.06,526.28,9.7,1.99,69862.05,5.11,UAE,Mobile,45-54,Female,Retargeting,Reel Format,instagram,paid_social
Back to School,LinkedIn,2025-07-26,130191,9931,2758,1307,14387.02,7.63,1.45,5.22,11.01,47.39,27.77,4928461.43,342.56,USA,Mobile,45-54,Male,High Intent Segment,Static Image 1,instagram,cpc
Summer Fest,LinkedIn,2025-10-16,107376,10770,4544,1025,33753.25,10.03,3.13,7.43,32.93,22.56,42.19,2594153.69,76.86,Singapore,Desktop,45-54,Other,Warm Audience,Reel Format,instagram,display
Freedom Sale,Google Ads,2025-07-23,41239,828,380,70,21614.96,2.01,26.11,56.88,308.79,18.42,45.89,148829.05,6.89,India,Desktop,45-54,Female,Warm Audience,Video Creative B,google,paid_social
New Year Promo,Google Ads,2025-11-13,133364,1447,527,101,19859.58,1.09,13.72,37.68,196.63,19.17,36.42,159456.37,8.03,UK,Mobile,55+,Female,Website Visitors,Static Image 2,google,organic
Freedom Sale,YouTube,2025-07-25,58509,4852,977,360,17569.76,8.29,3.62,17.98,48.8,36.85,20.14,1336016.62,76.04,UAE,Mobile,18-24,Female,High Intent Segment,Video Creative A,facebook,paid_social
New Year Promo,Instagram,2025-08-29,98854,4593,785,34,15280.44,4.65,3.33,19.47,449.42,4.33,17.09,31653.79,2.07,India,Tablet,18-24,Other,Cold Lookalike,Video Creative B,facebook,paid_social
Diwali Blast Sale,Instagram,2025-07-21,143539,6347,897,270,755.24,4.42,0.12,0.84,2.8,30.1,14.13,1090281.07,1443.62,USA,Tablet,18-24,Male,Retargeting,Carousel Ad,linkedin,display
Back to School,LinkedIn,2025-09-22,172292,3093,1171,210,16652.16,1.8,5.38,14.22,79.3,17.93,37.86,506543.31,30.42,Singapore,Tablet,35-44,Male,Cold Lookalike,Static Image 2,youtube,organic
New Year Promo,LinkedIn,2025-11-03,109086,4719,1159,5,513.58,4.33,0.11,0.44,102.72,0.43,24.56,4008.56,7.81,Singapore,Tablet,45-54,Other,App Users,Static Image 2,linkedin,display
Freedom Sale,LinkedIn,2025-08-30,105071,6149,2395,1310,11383.8,5.85,1.85,4.75,8.69,54.7,38.95,5187769.6,455.72,India,Tablet,25-34,Male,Cold Lookalike,Reel Format,google,organic
Big Weekend Push,YouTube,2025-11-04,165760,11010,1823,1082,21098.14,6.64,1.92,11.57,19.5,59.35,16.56,4773463.38,226.25,USA,Tablet,55+,Female,High Intent Segment,Static Image 2,instagram,display
Freedom Sale,Google Ads,2025-08-23,12537,872,231,103,19557.89,6.96,22.43,84.67,189.88,44.59,26.49,456140.42,23.32,UAE,Desktop,35-44,Other,Cold Lookalike,Reel Format,facebook,organic
Big Weekend Push,Facebook,2025-11-09,10610,1260,609,161,17530.02,11.88,13.91,28.78,108.88,26.44,48.33,139706.41,7.97,UK,Desktop,55+,Male,Warm Audience,Carousel Ad,youtube,organic
Diwali Blast Sale,Google Ads,2025-09-06,191798,8431,3526,717,5715.15,4.4,0.68,1.62,7.97,20.33,41.82,2762957.77,483.44,UAE,Tablet,18-24,Male,Warm Audience,Video Creative A,facebook,display
Back to School,Facebook,2025-08-19,141639,328,149,27,587.12,0.23,1.79,3.94,21.75,18.12,45.43,77183.05,131.46,USA,Desktop,45-54,Female,Cold Lookalike,Video Creative B,facebook,paid_social
Big Weekend Push,Instagram,2025-09-20,109786,11529,463,256,31039.77,10.5,2.69,67.04,121.25,55.29,4.02,1094123.25,35.25,USA,Tablet,25-34,Other,Cold Lookalike,Carousel Ad,instagram,paid_social
Diwali Blast Sale,YouTube,2025-08-16,111918,5956,1341,772,23005.36,5.32,3.86,17.16,29.8,57.57,22.52,3716840.61,161.56,UAE,Mobile,35-44,Female,High Intent Segment,Static Image 2,linkedin,cpc
Diwali Blast Sale,Facebook,2025-10-25,76584,1632,614,354,4246.27,2.13,2.6,6.92,12.0,57.65,37.62,1557741.21,366.85,India,Mobile,18-24,Female,Website Visitors,Static Image 2,google,organic
Big Weekend Push,YouTube,2025-09-25,120833,12650,3720,454,7243.2,10.47,0.57,1.95,15.95,12.2,29.41,1116353.39,154.12,USA,Tablet,35-44,Male,High Intent Segment,Carousel Ad,youtube,cpc
Big Weekend Push,YouTube,2025-09-01,48141,4806,1412,730,14444.24,9.98,3.01,10.23,19.79,51.7,29.38,936168.92,64.81,UK,Desktop,25-34,Other,High Intent Segment,Video Creative A,youtube,organic
Diwali Blast Sale,LinkedIn,2025-08-26,116288,3219,102,27,3765.78,2.77,1.17,36.92,139.47,26.47,3.17,31064.21,8.25,UK,Tablet,45-54,Other,High Intent Segment,Reel Format,instagram,cpc
Big Weekend Push,YouTube,2025-08-11,61270,5818,1326,162,14767.44,9.5,2.54,11.14,91.16,12.22,22.79,476210.43,32.25,UAE,Desktop,45-54,Female,Cold Lookalike,Video Creative B,linkedin,paid_social
Diwali Blast Sale,YouTube,2025-09-08,175987,17637,4220,1975,19969.71,10.02,1.13,4.73,10.11,46.8,23.93,6930649.21,347.06,India,Tablet,18-24,Other,Retargeting,Video Creative A,instagram,display
Big Weekend Push,Facebook,2025-10-18,46609,4780,617,121,7425.1,10.26,1.55,12.03,61.36,19.61,12.91,163604.44,22.03,USA,Tablet,18-24,Female,Website Visitors,Reel Format,google,display
New Year Promo,Instagram,2025-10-02,67996,2545,1075,460,20922.78,3.74,8.22,19.46,45.48,42.79,42.24,369146.52,17.64,UAE,Tablet,35-44,Female,Website Visitors,Carousel Ad,google,paid_social
Big Weekend Push,LinkedIn,2025-11-07,15151,1190,86,8,1220.0,7.85,1.03,14.19,152.5,9.3,7.23,8930.16,7.32,UK,Tablet,45-54,Female,Warm Audience,Static Image 1,instagram,paid_social
Back to School,YouTube,2025-09-15,119137,9694,61,30,32513.62,8.14,3.35,533.01,1083.79,49.18,0.63,25044.37,0.77,USA,Tablet,55+,Female,Retargeting,Carousel Ad,youtube,organic
Freedom Sale,Facebook,2025-11-13,146961,14162,6564,3055,27082.34,9.64,1.91,4.13,8.86,46.54,46.35,8217396.11,303.42,UAE,Desktop,45-54,Other,Warm Audience,Static Image 1,youtube,display
Big Weekend Push,LinkedIn,2025-10-19,141992,8713,3779,1019,7118.73,6.14,0.82,1.88,6.99,26.96,43.37,3167703.4,444.98,UK,Desktop,55+,Female,Warm Audience,Video Creative B,linkedin,display
Diwali Blast Sale,YouTube,2025-10-13,114721,9616,1146,140,11524.51,8.38,1.2,10.06,82.32,12.22,11.92,312122.25,27.08,Singapore,Tablet,35-44,Female,Warm Audience,Static Image 1,facebook,paid_social
Summer Fest,Instagram,2025-09-20,113432,11785,1975,451,30488.12,10.39,2.59,15.44,67.6,22.84,16.76,1367883.91,44.87,UAE,Desktop,35-44,Male,Website Visitors,Reel Format,linkedin,organic
Big Weekend Push,YouTube,2025-09-09,128070,5688,2127,208,15832.6,4.44,2.78,7.44,76.12,9.78,37.39,682319.28,43.1,UK,Mobile,25-34,Male,Website Visitors,Carousel Ad,google,paid_social
Summer Fest,YouTube,2025-08-18,20361,1904,13,4,1082.97,9.35,0.57,83.31,270.74,30.77,0.68,12537.71,11.58,Singapore,Mobile,25-34,Other,Warm Audience,Static Image 1,linkedin,organic
Big Weekend Push,Facebook,2025-09-10,100724,2459,100,7,9359.06,2.44,3.81,93.59,1337.01,7.0,4.07,17822.72,1.9,India,Mobile,45-54,Other,Retargeting,Carousel Ad,google,organic
Summer Fest,Google Ads,2025-09-27,185498,9795,3614,2074,24591.56,5.28,2.51,6.8,11.86,57.39,36.9,5111902.12,207.87,UAE,Desktop,35-44,Other,Cold Lookalike,Static Image 1,linkedin,cpc
New Year Promo,Facebook,2025-10-10,198121,22559,7174,2890,29456.29,11.39,1.31,4.11,10.19,40.28,31.8,4251367.21,144.33,India,Desktop,45-54,Female,App Users,Static Image 1,facebook,display
Big Weekend Push,LinkedIn,2025-10-31,176194,19771,1174,412,19888.01,11.22,1.01,16.94,48.27,35.09,5.94,1162954.85,58.48,India,Tablet,55+,Other,Warm Audience,Static Image 2,facebook,paid_social
New Year Promo,LinkedIn,2025-09-03,93703,6156,116,39,29825.93,6.57,4.85,257.12,764.77,33.62,1.88,144604.12,4.85,UK,Desktop,25-34,Female,High Intent Segment,Reel Format,linkedin,display
New Year Promo,Facebook,2025-08-02,84710,5843,2347,1255,10571.31,6.9,1.81,4.5,8.42,53.47,40.17,891580.9,84.34,UK,Tablet,18-24,Other,App Users,Static Image 2,google,display
New Year Promo,Facebook,2025-10-03,99306,5625,2288,475,4007.54,5.66,0.71,1.75,8.44,20.76,40.68,1386293.32,345.92,USA,Tablet,35-44,Other,Cold Lookalike,Reel Format,linkedin,organic
Diwali Blast Sale,Google Ads,2025-10-28,196406,18232,2501,956,23284.59,9.28,1.28,9.31,24.36,38.22,13.72,871430.45,37.43,India,Tablet,45-54,Other,High Intent Segment,Video Creative A,instagram,cpc
Diwali Blast Sale,YouTube,2025-09-14,87774,8880,3649,656,30772.33,10.12,3.47,8.43,46.91,17.98,41.09,2801216.53,91.03,UK,Tablet,18-24,Female,High Intent Segment,Static Image 1,youtube,organic
Summer Fest,YouTube,2025-08-14,9969,366,171,22,25266.18,3.67,69.03,147.76,1148.46,12.87,46.72,78413.94,3.1,India,Mobile,55+,Male,Website Visitors,Reel Format,google,cpc
Big Weekend Push,Facebook,2025-09-30,186144,11444,1195,135,32062.16,6.15,2.8,26.83,237.5,11.3,10.44,241453.2,7.53,UK,Desktop,18-24,Female,App Users,Video Creative A,instagram,organic
Summer Fest,Instagram,2025-07-26,199492,8703,3716,1555,31605.56,4.36,3.63,8.51,20.33,41.85,42.7,1747981.83,55.31,India,Mobile,45-54,Female,Website Visitors,Carousel Ad,instagram,display
Summer Fest,LinkedIn,2025-11-08,85144,2362,446,124,19407.62,2.77,8.22,43.51,156.51,27.8,18.88,464548.9,23.94,UK,Tablet,25-34,Male,Cold Lookalike,Video Creative B,facebook,paid_social
Diwali Blast Sale,Google Ads,2025-10-29,16087,1749,70,2,19155.83,10.87,10.95,273.65,9577.92,2.86,4.0,3259.23,0.17,USA,Tablet,45-54,Other,Retargeting,Reel Format,instagram,paid_social
Back to School,Facebook,2025-09-05,34233,3961,1646,772,27634.76,11.57,6.98,16.79,35.8,46.9,41.56,2319293.54,83.93,USA,Desktop,18-24,Male,Cold Lookalike,Carousel Ad,google,paid_social
Freedom Sale,Google Ads,2025-09-10,151469,13278,5025,1116,15188.28,8.77,1.14,3.02,13.61,22.21,37.84,3454128.85,227.42,Singapore,Tablet,55+,Other,High Intent Segment,Video Creative A,instagram,cpc
Big Weekend Push,YouTube,2025-10-06,161253,500,214,20,28920.09,0.31,57.84,135.14,1446.0,9.35,42.8,86605.99,2.99,Singapore,Tablet,25-34,Male,Website Visitors,Static Image 2,instagram,display
New Year Promo,YouTube,2025-08-05,90290,1639,495,223,22453.87,1.82,13.7,45.36,100.69,45.05,30.2,641791.19,28.58,UK,Desktop,35-44,Female,Website Visitors,Video Creative B,google,organic
Summer Fest,Instagram,2025-08-13,22618,1479,35,8,2406.93,6.54,1.63,68.77,300.87,22.86,2.37,17239.73,7.16,India,Mobile,35-44,Other,High Intent Segment,Static Image 2,google,display
Back to School,Facebook,2025-08-09,141558,16950,5393,191,7805.75,11.97,0.46,1.45,40.87,3.54,31.82,923162.69,118.27,India,Tablet,25-34,Male,Cold Lookalike,Video Creative B,instagram,display
Big Weekend Push,YouTube,2025-08-06,45194,3339,1429,453,19685.27,7.39,5.9,13.78,43.46,31.7,42.8,1530870.98,77.77,UAE,Mobile,55+,Male,App Users,Carousel Ad,google,display
Diwali Blast Sale,YouTube,2025-10-03,191829,16377,272,127,9806.33,8.54,0.6,36.05,77.22,46.69,1.66,360437.7,36.76,UK,Mobile,25-34,Male,Cold Lookalike,Carousel Ad,youtube,display
Back to School,LinkedIn,2025-08-28,167746,7611,1509,160,17971.82,4.54,2.36,11.91,112.32,10.6,19.83,492431.61,27.4,UAE,Desktop,45-54,Female,High Intent Segment,Static Image 2,linkedin,paid_social
Back to School,Google Ads,2025-07-20,186808,21816,1697,263,24389.75,11.68,1.12,14.37,92.74,15.5,7.78,361843.4,14.84,Singapore,Desktop,45-54,Male,Website Visitors,Reel Format,linkedin,organic
Diwali Blast Sale,YouTube,2025-07-22,44025,5118,503,253,19802.23,11.63,3.87,39.37,78.27,50.3,9.83,1108525.26,55.98,UAE,Mobile,55+,Male,Warm Audience,Static Image 2,facebook,cpc
