Campaign name,Ad Set Name,Ad name,Page Name,Ads,Age,Gender,City,Day,Delivery status,Delivery level,Ad Set Name (Duplicate),Attribution setting,Result type,Results,Reach,Impressions,Cost per result,Amount spent (INR),Frequency,Link clicks,CPC (cost per link click),"CPM (cost per 1,000 impressions)",CTR (all),Clicks (all),CPC (all),Conversion rate ranking,Engagement rate ranking,Quality ranking,ThruPlays,Video plays at 25%,Video plays at 50%,Video plays at 75%,Video plays at 95%,Video plays at 100%,Video average play time,Video plays,Cost per 2-second continuous video play,Cost per 3-second video play,Cost per ThruPlay,Cost per Lead,Ad name (Duplicate),Campaign name (Duplicate),Image name,Video name,Reporting starts,Reporting ends
Data Analytics Bootcamp,Sales Funnel Set,Ad 1,SkillUp Learning,Ad 1,41,female,Chennai,17-10-2024,delivering,ad,Sales Funnel Set,7-day click or 1-day view,conversion,22,229,1010,43.08,189.57,2.47,31,11.08,99.01,4.72,93,13.71,-,-,Average,24,38,49,46,39,14,89.92,91,1.32,1.67,14.27,26.71,Ad 1,Data Analytics Bootcamp,recusandae_promo.png,placeat.mp4,17-10-2024,27-01-2025
Business Analytics Certification,Digital Marketing Set,Ad 1,Code & Data,Ad 1,25,male,Madurai,22-12-2024,not_delivering,ad,Digital Marketing Set,7-day click,conversion,40,1104,2525,40.05,697.99,1.68,44,4.21,69.51,5.77,47,12.13,Below average,Below average,Below average,189,323,518,218,216,211,44,769,1.89,2.8,37.8,20.2,Ad 1,Business Analytics Certification,eos_promo.png,fugit.mp4,22-12-2024,24-09-2025
SQL Skills Training,Referral Program Set,Ad 3,Code & Data,Ad 3,19,male,Mumbai,22-07-2025,not_delivering,ad,Referral Program Set,1-day click,conversion,13,520,1922,42.02,780.95,2.61,72,6.35,75.94,3.38,109,6.91,Above average,-,-,96,179,186,143,83,62,55.59,238,1.01,2.62,45.28,34.18,Ad 3,SQL Skills Training,quasi_promo.png,nostrum.mp4,22-07-2025,20-09-2025
SQL Skills Training,Marketing Automation Set,Ad 13,Code & Data,Ad 13,18,male,Mysuru,13-09-2024,delivering,campaign,Marketing Automation Set,7-day click,conversion,10,743,2134,9.32,437.55,1.55,1,2.49,73.9,5.83,6,13,Above average,-,Above average,10,14,11,9,8,3,10.44,21,3.87,3.17,4.67,33.74,Ad 13,SQL Skills Training,harum_promo.png,fugiat.mp4,13-09-2024,18-09-2025
AI & ML Foundations,Engagement Set,Ad 2,Code & Data,Ad 2,30,male,Bengaluru,23-05-2025,delivering,campaign,Engagement Set,7-day click,conversion,23,439,604,34.74,431.8,0.84,65,5.51,55.6,1.12,144,12.7,Above average,Average,Above average,66,62,26,22,28,7,36.08,88,3.43,4.64,44.93,36.71,Ad 2,AI & ML Foundations,exercitationem_promo.png,eaque.mp4,23-05-2025,03-10-2025
Full Stack Analytics Program,Digital Marketing Set,Ad 9,SkillUp Learning,Ad 9,16,female,Visakhapatnam,28-07-2024,delivering,adset,Digital Marketing Set,7-day click,conversion,14,162,1231,4.27,68.73,1.14,3,10.93,54.55,1.9,12,3.99,-,Average,Average,50,83,98,47,39,25,38.46,126,3.43,2.16,11.14,44.37,Ad 9,Full Stack Analytics Program,molestiae_promo.png,aperiam.mp4,28-07-2024,21-03-2025
SQL Skills Training,Lead Gen Set,Ad 3,SkillUp Learning,Ad 3,41,female,Delhi,19-04-2024,not_delivering,adset,Lead Gen Set,1-day click,conversion,37,393,945,10.33,654.21,1.85,11,12.41,96.28,3.85,32,2.34,Average,-,-,123,155,69,152,39,15,114.94,221,1.9,1.54,26.21,48.95,Ad 3,SQL Skills Training,eligendi_promo.png,dignissimos.mp4,19-04-2024,18-10-2024
AI & ML Foundations,Customer Feedback Set,Ad 4,Data Insights Academy,Ad 4,45,female,Visakhapatnam,28-01-2025,delivering,adset,Customer Feedback Set,7-day click or 1-day view,conversion,9,517,1240,8.96,746.46,2.93,4,12.48,87.91,1.51,11,3.48,Average,Average,Average,30,44,17,20,10,10,40.44,51,4.77,3.19,22.43,49.28,Ad 4,AI & ML Foundations,aliquid_promo.png,laborum.mp4,28-01-2025,11-09-2025
AI & ML Foundations,SQL Insights Set,Ad 15,Data Insights Academy,Ad 15,32,female,Mysuru,27-07-2024,not_delivering,campaign,SQL Insights Set,1-day click,conversion,25,792,2416,10.81,191.71,2.43,30,5.34,75.19,6.71,62,7.48,Below average,Above average,-,43,36,34,25,17,8,52.46,56,1.6,3.32,38.18,25.85,Ad 15,AI & ML Foundations,expedita_promo.png,sunt.mp4,27-07-2024,22-06-2025
Full Stack Analytics Program,Sales Funnel Set,Ad 13,Code & Data,Ad 13,33,female,Coimbatore,04-01-2025,not_delivering,ad,Sales Funnel Set,7-day click or 1-day view,conversion,31,1026,2296,21.08,598.28,2.97,146,14.97,72.28,5.88,341,2.16,Above average,Below average,Below average,90,84,72,66,15,36,70.34,133,4.08,4.51,34.9,35.12,Ad 13,Full Stack Analytics Program,possimus_promo.png,quis.mp4,04-01-2025,01-04-2025
AI & ML Foundations,Content Marketing Set,Ad 8,Data Insights Academy,Ad 8,42,male,Pondicherry,28-03-2024,delivering,adset,Content Marketing Set,7-day click,conversion,31,762,1777,21.71,160.11,2.04,142,10.74,92.95,6.01,188,3.21,Average,Below average,-,219,481,430,225,122,102,115.78,753,3.13,3.18,3.18,48.38,Ad 8,AI & ML Foundations,odit_promo.png,dignissimos.mp4,28-03-2024,01-10-2025
Full Stack Analytics Program,Lead Gen Set,Ad 1,Analytics Gurukul,Ad 1,36,male,Pune,02-06-2024,delivering,ad,Lead Gen Set,7-day click,conversion,5,220,1384,22.47,228.8,1.83,1,8.14,58.2,6.08,3,12.98,Above average,Average,Average,143,82,139,96,51,40,119.73,198,4.95,4.33,42.02,38.25,Ad 1,Full Stack Analytics Program,odit_promo.png,provident.mp4,02-06-2024,18-05-2025
Power BI Mastery,Paid Media Set,Ad 9,Analytics Gurukul,Ad 9,42,male,Pune,26-05-2025,not_delivering,ad,Paid Media Set,7-day click or 1-day view,conversion,38,199,1117,31.58,122.12,2.1,83,6.17,67.33,4.07,191,7.07,-,Average,-,31,81,58,84,55,39,21.56,138,3.28,2.25,22.7,34.9,Ad 9,Power BI Mastery,asperiores_promo.png,rem.mp4,26-05-2025,10-06-2025
AI & ML Foundations,Cross-sell Campaign Set,Ad 7,SkillUp Learning,Ad 7,27,male,Trivandrum,22-06-2024,not_delivering,campaign,Cross-sell Campaign Set,1-day click,conversion,30,574,2376,39.31,178.37,1.75,115,10.8,52.92,4.41,327,14.03,Average,Average,Above average,352,336,196,187,199,109,33.22,488,3.99,4.6,2.89,22.58,Ad 7,AI & ML Foundations,sapiente_promo.png,placeat.mp4,22-06-2024,02-08-2025
Python for Beginners,Marketing Automation Set,Ad 15,SkillUp Learning,Ad 15,18,female,Mumbai,09-04-2025,delivering,adset,Marketing Automation Set,1-day click,conversion,7,123,193,23.94,507.61,1.04,19,12.53,64.45,1.13,30,10.3,Average,Below average,Average,9,11,15,13,6,3,110.44,21,4.33,1.13,16.11,29.12,Ad 15,Python for Beginners,modi_promo.png,iure.mp4,09-04-2025,07-06-2025
SQL Skills Training,Customer Onboarding Set,Ad 10,Code & Data,Ad 10,27,male,Mysuru,04-04-2024,not_delivering,adset,Customer Onboarding Set,7-day click,conversion,32,409,883,42.15,157.5,0.66,125,11.36,84.23,4.79,295,8.66,Average,Below average,-,84,97,89,89,39,14,104.58,150,2.33,3.35,19.59,31.43,Ad 10,SQL Skills Training,possimus_promo.png,numquam.mp4,04-04-2024,08-04-2024
Data Analytics Bootcamp,SQL Insights Set,Ad 4,SkillUp Learning,Ad 4,25,female,Hyderabad,12-04-2025,not_delivering,adset,SQL Insights Set,1-day click,conversion,35,845,1745,40.3,584.04,2.77,122,7.88,67.14,1.66,193,8.88,Above average,Above average,-,439,574,332,140,234,194,95.93,677,1.3,4.53,1.99,48.23,Ad 4,Data Analytics Bootcamp,numquam_promo.png,labore.mp4,12-04-2025,08-08-2025
Full Stack Analytics Program,Market Analysis Set,Ad 12,Code & Data,Ad 12,39,male,Visakhapatnam,05-04-2025,not_delivering,adset,Market Analysis Set,7-day click or 1-day view,conversion,28,791,1130,17.76,510.86,1.07,122,14.94,72.84,6.4,214,8.23,Above average,Below average,Above average,120,234,195,190,38,63,67.17,312,1.47,4.07,24.67,43.31,Ad 12,Full Stack Analytics Program,possimus_promo.png,omnis.mp4,05-04-2025,02-05-2025
Full Stack Analytics Program,Landing Page Optimization Set,Ad 11,Code & Data,Ad 11,38,male,Hyderabad,08-06-2025,not_delivering,campaign,Landing Page Optimization Set,1-day click,conversion,21,213,1716,18.37,798.37,2.46,49,3.21,55.57,5.83,66,12.66,Above average,Above average,Above average,44,52,36,48,36,31,40.84,112,4.1,3.66,17.36,40.02,Ad 11,Full Stack Analytics Program,a_promo.png,doloribus.mp4,08-06-2025,09-08-2025
AI & ML Foundations,Python Analytics Set,Ad 6,Data Insights Academy,Ad 6,30,male,Coimbatore,03-03-2025,delivering,ad,Python Analytics Set,1-day click,conversion,2,814,1898,36.89,385.08,1.76,9,9.62,84.49,2.72,14,13.71,-,Below average,Average,373,264,266,294,78,113,59.58,575,0.57,3.73,27.14,44.51,Ad 6,AI & ML Foundations,porro_promo.png,tempore.mp4,03-03-2025,20-03-2025
Digital Marketing Essentials,Email Campaign Set,Ad 3,Data Insights Academy,Ad 3,17,male,Delhi,07-03-2024,delivering,ad,Email Campaign Set,1-day click,conversion,35,492,2301,34.65,352.15,2.19,177,4,68.62,5.97,519,9.79,Below average,-,-,159,173,107,71,47,55,40,230,4.34,3.17,25.73,45.61,Ad 3,Digital Marketing Essentials,cupiditate_promo.png,aliquid.mp4,07-03-2024,06-04-2024
Python for Beginners,Landing Page Optimization Set,Ad 1,Code & Data,Ad 1,20,male,Chennai,27-11-2024,not_delivering,adset,Landing Page Optimization Set,1-day click,conversion,12,836,2687,9.28,683.13,1.96,67,1.09,86.14,1.6,190,5.47,Average,Average,Above average,32,96,127,106,23,46,15.01,163,0.94,2.72,33.47,45.42,Ad 1,Python for Beginners,minima_promo.png,ullam.mp4,27-11-2024,16-10-2025
Business Analytics Certification,Customer Feedback Set,Ad 5,Analytics Gurukul,Ad 5,36,male,Kochi,19-07-2025,delivering,ad,Customer Feedback Set,7-day click or 1-day view,conversion,17,540,884,25.17,639.04,0.55,13,7.56,87.52,6.9,27,11.9,Below average,Average,-,187,96,187,49,81,57,12.64,238,4.48,3.89,12.07,26.2,Ad 5,Business Analytics Certification,doloribus_promo.png,nostrum.mp4,19-07-2025,30-08-2025
Digital Marketing Essentials,Lead Gen Set,Ad 11,Data Insights Academy,Ad 11,37,male,Pondicherry,11-09-2024,delivering,campaign,Lead Gen Set,1-day click,conversion,7,930,1233,38.26,287.42,1.96,11,12.95,92.15,5.27,35,5.62,Above average,-,Above average,38,43,54,42,15,26,47.77,89,3.49,1.83,18.95,38.35,Ad 11,Digital Marketing Essentials,natus_promo.png,amet.mp4,11-09-2024,01-12-2024
Power BI Mastery,Conversion Optimization Set,Ad 15,Data Insights Academy,Ad 15,26,male,Tirupati,23-05-2024,not_delivering,ad,Conversion Optimization Set,7-day click or 1-day view,conversion,23,682,2093,28.94,420.77,1.1,66,7.42,57.34,6.38,167,9.51,Below average,-,-,204,370,260,216,177,90,82.69,424,2.6,1.02,13.88,36.29,Ad 15,Power BI Mastery,enim_promo.png,optio.mp4,23-05-2024,06-10-2024
Full Stack Analytics Program,Loyalty Program Set,Ad 11,SkillUp Learning,Ad 11,44,male,Coimbatore,12-06-2024,not_delivering,campaign,Loyalty Program Set,1-day click,conversion,39,1076,2442,14.32,111.69,1.85,82,4.39,81.04,4.46,121,2.83,Above average,-,-,274,390,474,355,97,162,12.63,632,0.77,1.61,7.76,42.29,Ad 11,Full Stack Analytics Program,repellat_promo.png,aliquid.mp4,12-06-2024,25-09-2024
Power BI Mastery,Ad Testing Set,Ad 3,Analytics Gurukul,Ad 3,28,male,Madurai,11-01-2025,delivering,ad,Ad Testing Set,7-day click,conversion,22,414,1018,7.08,590.87,0.94,68,3.06,52.19,3.3,86,11.98,-,-,Average,197,196,218,164,90,86,101.88,376,3.24,3.18,13.25,33.66,Ad 3,Power BI Mastery,sint_promo.png,nemo.mp4,11-01-2025,24-03-2025
Advanced Excel Workshop,Ad Testing Set,Ad 12,Analytics Gurukul,Ad 12,31,female,Ahmedabad,13-09-2024,not_delivering,adset,Ad Testing Set,7-day click,conversion,23,309,844,15.88,772.91,2.19,24,8.23,67.78,4.82,41,3.56,Above average,-,Above average,163,164,150,111,104,51,94.87,223,3.45,3.3,20.25,28.01,Ad 12,Advanced Excel Workshop,neque_promo.png,numquam.mp4,13-09-2024,18-08-2025
Digital Marketing Essentials,Reporting & Insights Set,Ad 13,Code & Data,Ad 13,39,female,Trivandrum,17-03-2024,not_delivering,adset,Reporting & Insights Set,7-day click or 1-day view,conversion,27,197,509,20.96,105.51,1.18,117,8.52,72.04,3.09,204,4.05,-,Below average,-,66,83,61,77,55,29,56.9,143,2.37,1.53,26.74,40.77,Ad 13,Digital Marketing Essentials,repellendus_promo.png,fugiat.mp4,17-03-2024,09-08-2025
Power BI Mastery,Excel Mastery Set,Ad 11,SkillUp Learning,Ad 11,45,female,Ahmedabad,24-04-2025,not_delivering,campaign,Excel Mastery Set,7-day click or 1-day view,conversion,22,210,1911,33.59,216.55,1.85,23,10.82,71.66,5.37,59,10.73,Below average,-,-,92,124,81,58,65,20,25.93,143,3.56,1.45,27.63,42.84,Ad 11,Power BI Mastery,tenetur_promo.png,itaque.mp4,24-04-2025,18-06-2025
Digital Marketing Essentials,Retention Program Set,Ad 4,Analytics Gurukul,Ad 4,40,male,Coimbatore,25-05-2024,delivering,ad,Retention Program Set,7-day click,conversion,8,602,2070,6.36,366.4,2.55,25,6.71,57.36,5.41,50,3.5,Above average,Above average,Average,75,184,202,123,113,67,33.92,260,2.07,1.76,44.35,32.74,Ad 4,Digital Marketing Essentials,hic_promo.png,ea.mp4,25-05-2024,09-01-2025
Full Stack Analytics Program,Retention Program Set,Ad 4,Data Insights Academy,Ad 4,33,female,Pondicherry,07-07-2024,not_delivering,ad,Retention Program Set,1-day click,conversion,19,924,2250,19.53,60.83,2.33,55,3.9,53.46,6.73,71,2.81,Above average,Average,Average,421,277,235,252,232,121,72.96,637,1.37,0.74,7.84,45.99,Ad 4,Full Stack Analytics Program,iusto_promo.png,fuga.mp4,07-07-2024,18-12-2024
Data Analytics Bootcamp,Digital Marketing Set,Ad 11,SkillUp Learning,Ad 11,41,female,Mumbai,14-10-2024,not_delivering,adset,Digital Marketing Set,7-day click or 1-day view,conversion,18,307,556,46.92,578.91,1.03,23,14.69,82.12,6.38,38,10.42,-,Average,Average,68,151,128,75,28,31,96.29,190,2.73,3.7,16.16,36.73,Ad 11,Data Analytics Bootcamp,adipisci_promo.png,iure.mp4,14-10-2024,24-12-2024
SQL Skills Training,AI Solutions Set,Ad 7,Code & Data,Ad 7,31,female,Chennai,12-04-2024,not_delivering,ad,AI Solutions Set,1-day click,conversion,27,736,1614,44.51,589.56,2.42,43,1.53,68.49,4.2,102,9.92,Below average,Above average,Average,214,182,191,90,35,91,81.22,318,4.52,2.18,44.71,20.41,Ad 7,SQL Skills Training,alias_promo.png,iure.mp4,12-04-2024,06-03-2025
SQL Skills Training,Content Marketing Set,Ad 4,Data Insights Academy,Ad 4,35,male,Trivandrum,01-07-2024,not_delivering,campaign,Content Marketing Set,7-day click,conversion,21,264,1399,9.89,524.47,2.99,43,4.46,72.26,4.76,119,3.16,Above average,-,-,81,166,94,57,22,31,76.5,216,2.19,1.36,29.58,29.56,Ad 4,SQL Skills Training,rerum_promo.png,voluptatibus.mp4,01-07-2024,13-10-2025
Full Stack Analytics Program,Digital Marketing Set,Ad 2,Data Insights Academy,Ad 2,21,male,Pondicherry,24-03-2024,delivering,adset,Digital Marketing Set,7-day click or 1-day view,conversion,33,812,2690,18.52,58.5,1.03,12,1.88,72.84,2.89,39,3.26,Below average,-,Below average,47,56,29,18,20,13,49.63,75,4,4.96,26.06,36.05,Ad 2,Full Stack Analytics Program,dolorem_promo.png,tempora.mp4,24-03-2024,19-07-2025
Digital Marketing Essentials,Paid Media Set,Ad 1,SkillUp Learning,Ad 1,33,male,Delhi,18-10-2024,delivering,ad,Paid Media Set,7-day click or 1-day view,conversion,11,419,654,36.47,555.78,2.69,2,5.63,80.57,3.31,3,2.34,Average,Above average,Average,63,90,93,96,51,29,79.96,140,2.28,1.26,8.5,35.46,Ad 1,Digital Marketing Essentials,eaque_promo.png,impedit.mp4,18-10-2024,18-08-2025
Data Analytics Bootcamp,Customer Onboarding Set,Ad 3,Analytics Gurukul,Ad 3,34,male,Mumbai,24-04-2024,delivering,campaign,Customer Onboarding Set,7-day click or 1-day view,conversion,38,917,1198,24.53,600.62,2.43,181,6.13,59.25,6.96,242,11.32,-,Average,-,520,363,416,282,117,133,108.46,675,3.89,0.73,14.81,49.94,Ad 3,Data Analytics Bootcamp,aperiam_promo.png,maxime.mp4,24-04-2024,08-12-2024
AI & ML Foundations,Webinar Promotion Set,Ad 9,Data Insights Academy,Ad 9,43,male,Mysuru,17-08-2024,delivering,adset,Webinar Promotion Set,7-day click,conversion,7,898,1837,10.56,73.24,0.88,30,13.5,64.31,1.24,69,8.33,-,Above average,-,17,12,10,15,10,1,87.81,22,4.2,4.02,7.21,30.97,Ad 9,AI & ML Foundations,eum_promo.png,illo.mp4,17-08-2024,03-08-2025
Full Stack Analytics Program,Conversion Optimization Set,Ad 15,Data Insights Academy,Ad 15,45,male,Ahmedabad,21-05-2025,delivering,campaign,Conversion Optimization Set,1-day click,conversion,15,1081,2613,24.22,91.08,1.1,9,6.36,55.3,1.52,24,4.39,Below average,Average,-,32,116,48,73,58,11,110.56,137,4.17,4.75,49.38,21.59,Ad 15,Full Stack Analytics Program,perferendis_promo.png,facere.mp4,21-05-2025,27-09-2025
Data Analytics Bootcamp,Ad Testing Set,Ad 12,SkillUp Learning,Ad 12,25,male,Mysuru,21-12-2024,delivering,ad,Ad Testing Set,1-day click,conversion,19,587,2042,46.81,110.45,2,5,12.29,98.41,3.48,13,10.24,-,-,Average,0,0,1,0,0,0,96.15,2,4.59,2.75,26.06,49.26,Ad 12,Data Analytics Bootcamp,saepe_promo.png,pariatur.mp4,21-12-2024,12-02-2025
Advanced Excel Workshop,Lead Gen Set,Ad 10,SkillUp Learning,Ad 10,18,female,Visakhapatnam,01-09-2024,not_delivering,ad,Lead Gen Set,7-day click or 1-day view,conversion,32,1118,2734,49.77,275.04,2.82,123,12.37,58.03,5.79,155,13.43,Above average,Above average,Average,127,115,203,115,40,29,87.87,271,4.9,3.48,18.31,23.93,Ad 10,Advanced Excel Workshop,saepe_promo.png,officia.mp4,01-09-2024,30-12-2024
SQL Skills Training,Cross-sell Campaign Set,Ad 4,Data Insights Academy,Ad 4,25,female,Delhi,08-02-2025,not_delivering,ad,Cross-sell Campaign Set,7-day click,conversion,32,136,1551,2.57,532.5,1,119,7.88,91.04,4.05,344,12.07,Average,Below average,Below average,8,24,18,18,3,5,66.15,29,3.62,2.65,24.93,20.79,Ad 4,SQL Skills Training,voluptates_promo.png,aperiam.mp4,08-02-2025,11-10-2025
Data Analytics Bootcamp,Market Analysis Set,Ad 12,SkillUp Learning,Ad 12,29,female,Bengaluru,12-06-2024,not_delivering,ad,Market Analysis Set,7-day click or 1-day view,conversion,11,678,2256,11.31,645.02,2.05,30,4.88,89.81,5.37,76,9.81,-,Above average,Above average,61,79,65,37,66,31,87.76,148,3.1,4.7,25.71,44.04,Ad 12,Data Analytics Bootcamp,reiciendis_promo.png,officiis.mp4,12-06-2024,12-07-2024
Business Analytics Certification,Power BI Set,Ad 12,Analytics Gurukul,Ad 12,19,male,Pune,23-03-2024,not_delivering,adset,Power BI Set,1-day click,conversion,33,1023,1484,25.55,496.49,1.7,115,14.93,89.61,6.43,141,6.19,Average,Average,Above average,576,800,646,627,122,264,19.62,952,2.79,3.43,2.97,38.51,Ad 12,Business Analytics Certification,esse_promo.png,fuga.mp4,23-03-2024,01-08-2025
Data Analytics Bootcamp,Landing Page Optimization Set,Ad 8,Data Insights Academy,Ad 8,41,male,Hyderabad,27-08-2024,not_delivering,campaign,Landing Page Optimization Set,7-day click or 1-day view,conversion,1,955,1292,25.93,346.29,2.29,5,11.39,85.72,4.13,6,10.83,Below average,Above average,Average,233,324,207,106,179,23,36.83,373,3.74,3.56,33.2,37.89,Ad 8,Data Analytics Bootcamp,est_promo.png,earum.mp4,27-08-2024,20-03-2025
Digital Marketing Essentials,Retention Strategies Set,Ad 11,Code & Data,Ad 11,23,male,Ahmedabad,05-04-2024,delivering,adset,Retention Strategies Set,7-day click,conversion,15,502,673,18.66,149.66,2.45,19,12.53,57.41,2.79,44,10.41,Above average,-,Average,177,367,225,144,224,73,22.51,459,4.85,3.44,42.78,40.71,Ad 11,Digital Marketing Essentials,illum_promo.png,repellat.mp4,05-04-2024,24-09-2025
Python Data Science Track,Customer Onboarding Set,Ad 9,Data Insights Academy,Ad 9,34,female,Mysuru,18-07-2025,delivering,campaign,Customer Onboarding Set,7-day click or 1-day view,conversion,11,1131,2208,28.32,669.17,1.92,10,13.17,79.9,5.79,29,4.18,Above average,-,Average,213,231,158,215,45,76,90.34,324,3.3,2.72,28.62,22.28,Ad 9,Python Data Science Track,ad_promo.png,recusandae.mp4,18-07-2025,21-10-2025
Business Analytics Certification,Conversion Optimization Set,Ad 6,SkillUp Learning,Ad 6,43,female,Trivandrum,15-01-2025,delivering,campaign,Conversion Optimization Set,7-day click,conversion,23,673,1762,22.43,579.43,0.53,111,12.22,84.81,1.76,206,2.66,Below average,Average,Above average,310,222,313,140,174,137,55.68,467,0.92,2.33,49.04,38.22,Ad 6,Business Analytics Certification,dolore_promo.png,esse.mp4,15-01-2025,09-05-2025
Python Data Science Track,Content Marketing Set,Ad 7,Analytics Gurukul,Ad 7,45,female,Ahmedabad,01-10-2024,not_delivering,ad,Content Marketing Set,1-day click,conversion,2,915,2329,22.66,748.85,2.48,16,7.82,53.77,3.41,23,12.15,-,-,Above average,198,223,300,131,150,88,54.87,398,4.36,1.27,10.6,46.71,Ad 7,Python Data Science Track,ipsa_promo.png,voluptas.mp4,01-10-2024,30-05-2025
Business Analytics Certification,Ad Testing Set,Ad 2,Data Insights Academy,Ad 2,31,female,Mumbai,14-12-2024,delivering,ad,Ad Testing Set,7-day click or 1-day view,conversion,17,60,1323,33.64,157.21,2.13,36,11.43,55.07,4.24,111,10.18,Average,Average,Average,20,37,30,14,21,5,21.8,53,2.66,0.71,31.86,28.5,Ad 2,Business Analytics Certification,veritatis_promo.png,atque.mp4,14-12-2024,18-06-2025
Digital Marketing Essentials,Cross-sell Campaign Set,Ad 2,Code & Data,Ad 2,45,male,Trivandrum,27-06-2025,delivering,campaign,Cross-sell Campaign Set,7-day click,conversion,17,1039,1074,2.19,159.74,1.21,80,10.09,78.97,4.16,184,6.78,Above average,Below average,-,184,145,161,64,47,17,81.07,267,2.12,1.13,42.38,32.98,Ad 2,Digital Marketing Essentials,corrupti_promo.png,eum.mp4,27-06-2025,07-08-2025
Python for Beginners,Branding Set,Ad 12,Analytics Gurukul,Ad 12,17,male,Bengaluru,16-11-2024,delivering,campaign,Branding Set,7-day click or 1-day view,conversion,12,221,2073,9.53,348.44,0.83,21,1.38,92.9,2.71,53,1.62,Above average,-,Below average,7,17,9,18,11,3,119.07,27,0.71,3.92,21.85,43.86,Ad 12,Python for Beginners,assumenda_promo.png,sapiente.mp4,16-11-2024,06-01-2025
Business Analytics Certification,Referral Program Set,Ad 10,Code & Data,Ad 10,35,female,Tirupati,02-06-2024,delivering,campaign,Referral Program Set,1-day click,conversion,40,314,345,16.43,506.11,2.08,198,7.33,51.5,5.2,540,0.97,-,Average,Below average,40,56,52,58,19,23,115.16,84,1.71,4.15,34.85,43.21,Ad 10,Business Analytics Certification,quibusdam_promo.png,ipsum.mp4,02-06-2024,25-06-2024
SQL Skills Training,Sales Funnel Set,Ad 2,Analytics Gurukul,Ad 2,35,female,Kochi,18-05-2024,not_delivering,adset,Sales Funnel Set,1-day click,conversion,22,990,1227,16.97,260.38,2.87,31,12.03,71.3,4.4,96,8.65,Below average,Above average,-,35,90,69,28,16,7,24.46,123,2.34,0.99,48.32,27.57,Ad 2,SQL Skills Training,laboriosam_promo.png,non.mp4,18-05-2024,10-11-2024
Python for Beginners,Excel Mastery Set,Ad 14,Data Insights Academy,Ad 14,35,male,Ahmedabad,20-10-2024,not_delivering,adset,Excel Mastery Set,7-day click or 1-day view,conversion,3,467,2327,15.27,776.49,1.2,6,8.02,72.61,6.25,6,10.85,Average,Below average,Below average,104,263,142,259,110,83,74.74,443,3.24,2.1,18.08,46.76,Ad 14,Python for Beginners,velit_promo.png,quisquam.mp4,20-10-2024,28-01-2025
Business Analytics Certification,Upsell Campaign Set,Ad 9,Data Insights Academy,Ad 9,34,male,Delhi,03-05-2025,not_delivering,ad,Upsell Campaign Set,7-day click,conversion,2,58,602,33.27,597.07,1.47,12,13.55,75.29,4.4,39,14.1,Average,-,Average,3,5,4,2,1,0,71.77,6,1.82,1.3,12.25,33.58,Ad 9,Business Analytics Certification,expedita_promo.png,impedit.mp4,03-05-2025,05-09-2025
Digital Marketing Essentials,Email Campaign Set,Ad 12,SkillUp Learning,Ad 12,37,male,Tirupati,13-08-2025,not_delivering,ad,Email Campaign Set,7-day click or 1-day view,conversion,32,332,1118,36,561.3,2.28,67,14.73,61.45,0.66,101,9.61,Below average,-,-,89,186,72,100,94,43,88.93,214,3.08,1.23,7.94,49.74,Ad 12,Digital Marketing Essentials,magni_promo.png,harum.mp4,13-08-2025,21-10-2025
Power BI Mastery,Customer Onboarding Set,Ad 15,Data Insights Academy,Ad 15,40,female,Visakhapatnam,25-09-2024,not_delivering,adset,Customer Onboarding Set,7-day click or 1-day view,conversion,30,659,1787,2.79,528.82,1.52,54,12.7,80.13,3.98,71,11.84,-,Average,Average,91,250,248,145,158,44,34.97,330,3.47,3.53,27.94,31.51,Ad 15,Power BI Mastery,dolorem_promo.png,sequi.mp4,25-09-2024,02-08-2025
Full Stack Analytics Program,Conversion Optimization Set,Ad 13,SkillUp Learning,Ad 13,25,male,Delhi,08-09-2025,not_delivering,campaign,Conversion Optimization Set,1-day click,conversion,35,353,1307,2.46,408.6,2.53,107,7.09,71.96,1.43,299,2.91,Average,-,Above average,42,110,79,72,78,39,106.56,159,3.89,4.29,16.94,49.22,Ad 13,Full Stack Analytics Program,dicta_promo.png,non.mp4,08-09-2025,25-10-2025
Python for Beginners,Content Marketing Set,Ad 4,Code & Data,Ad 4,29,male,Coimbatore,25-08-2025,delivering,adset,Content Marketing Set,7-day click,conversion,16,567,2262,24.55,561.45,1.54,37,2.87,58.99,2.87,73,13.04,Below average,-,-,39,27,32,23,11,20,48.81,68,4.16,2.38,34.01,31.26,Ad 4,Python for Beginners,nemo_promo.png,consequatur.mp4,25-08-2025,29-08-2025
Full Stack Analytics Program,Marketing Automation Set,Ad 5,Code & Data,Ad 5,39,female,Chennai,17-11-2024,delivering,adset,Marketing Automation Set,1-day click,conversion,5,278,1147,6.75,613.09,2.41,15,3.73,51.17,5.83,45,10.65,Average,Above average,-,61,75,71,45,23,38,47.51,141,3.93,4.66,5.82,27.32,Ad 5,Full Stack Analytics Program,quis_promo.png,animi.mp4,17-11-2024,15-07-2025
