driver_id,trip_id,overspeed_events,harsh_brake_events,rapid_accel_events,idling_minutes,night_driving_minutes,distraction_score,safety_score,seatbelt_violation_count,camera_distraction_alerts,sharp_turn_events,avg_following_distance_meters,traffic_signal_violations,fatigue_alerts,driving_hours_this_week,eco_score,risk_category
DR_124,TRIP_2392,2,2,3,2,44,0.62,91,0,4,2,24.5,2,3,34,72.22,High
DR_86,TRIP_2393,8,1,2,34,7,0.72,78,3,2,2,18.86,0,0,46,82.13,Medium
DR_24,TRIP_2394,7,7,2,31,23,0.21,73,3,5,5,15.72,3,1,24,64.47,Medium
DR_290,TRIP_2395,4,8,3,3,52,0.7,81,0,4,4,21.98,3,1,14,92.03,Low
DR_127,TRIP_2396,1,1,3,25,50,0.17,89,0,2,1,9.02,2,2,43,95.75,Medium
DR_239,TRIP_2397,2,8,6,6,74,0.42,80,2,3,6,12.06,1,1,26,90.36,Low
DR_132,TRIP_2398,0,8,6,16,112,0.59,81,0,3,5,17.32,2,0,60,72.49,Medium
DR_246,TRIP_2399,5,3,4,31,29,0.8,79,2,2,4,39.08,0,0,17,93.77,Medium
DR_17,TRIP_2400,5,5,2,11,69,0.27,83,1,2,5,29.01,3,3,57,90.3,Medium
DR_48,TRIP_2401,0,6,2,23,65,0.67,86,3,2,5,15.06,4,2,63,54.98,High
DR_228,TRIP_2402,2,1,5,28,13,0.71,85,3,4,1,9.72,2,2,55,95.79,Low
DR_296,TRIP_2403,5,4,3,22,100,0.1,80,0,5,6,17.04,1,0,10,57.37,Medium
DR_200,TRIP_2404,7,6,6,36,54,0.7,69,1,1,1,8.53,1,0,40,72.13,Low
DR_221,TRIP_2405,6,8,1,15,4,0.81,78,2,3,2,37.6,4,1,13,79.82,High
DR_253,TRIP_2406,8,4,0,21,33,0.21,79,2,0,6,28.32,1,0,69,89.41,Low
DR_91,TRIP_2407,5,8,6,28,29,0.2,71,1,2,4,17.79,1,3,40,63.69,High
DR_28,TRIP_2408,3,3,5,33,42,0.35,80,3,4,3,10.93,3,2,27,99.25,Medium
DR_232,TRIP_2409,3,0,3,2,61,0.51,92,2,3,2,38.62,2,1,29,63.96,High
DR_231,TRIP_2410,7,5,4,17,67,0.3,76,3,1,6,31.74,2,3,45,67.29,Low
DR_77,TRIP_2411,1,8,0,30,57,0.4,83,3,5,6,15.68,1,3,47,52.46,Low
DR_287,TRIP_2412,4,1,6,26,109,0.25,81,3,5,0,25.99,3,3,32,70.74,Medium
DR_209,TRIP_2413,8,3,1,37,100,0.78,76,0,4,5,35.49,1,0,53,51.25,High
DR_6,TRIP_2414,2,6,0,35,13,0.21,83,0,4,1,23.13,0,2,34,96.13,High
DR_120,TRIP_2415,10,4,0,1,16,0.47,80,3,5,1,23.04,2,2,26,59.88,Low
DR_203,TRIP_2416,9,6,0,23,62,0.34,75,1,2,5,18.88,4,2,63,92.09,Low
DR_148,TRIP_2417,5,4,5,15,13,0.58,80,1,1,1,34.26,2,2,39,65.48,Medium
DR_54,TRIP_2418,0,8,0,27,38,0.4,85,2,2,3,8.27,0,2,10,53.23,Medium
DR_245,TRIP_2419,1,6,2,24,105,0.5,85,1,5,1,31.93,3,0,44,64.3,High
DR_262,TRIP_2420,6,8,6,35,90,0.46,68,1,5,4,33.47,1,0,19,61.64,High
DR_164,TRIP_2421,10,8,5,37,21,0.53,63,1,2,2,34.77,4,0,54,53.31,High
DR_297,TRIP_2422,10,0,3,20,8,0.68,78,0,2,5,33.97,4,2,34,73.84,Medium
DR_177,TRIP_2423,8,4,0,22,47,0.64,79,2,3,5,20.33,4,3,64,57.01,Low
DR_182,TRIP_2424,8,1,0,38,75,0.74,80,2,3,0,19.51,0,0,14,93.23,Medium
DR_230,TRIP_2425,9,8,4,20,50,0.46,69,1,4,4,10.1,4,2,61,76.37,High
DR_254,TRIP_2426,10,1,4,10,49,0.47,78,0,4,5,36.24,2,2,29,60.33,Medium
DR_105,TRIP_2427,0,0,6,29,90,0.83,88,3,2,0,37.18,1,0,67,55.7,Medium
DR_81,TRIP_2428,7,4,4,37,0,0.54,73,0,3,3,6.24,2,2,55,98.38,Medium
DR_135,TRIP_2429,3,3,3,2,34,0.3,89,3,4,5,27.52,2,2,68,66.0,Low
DR_218,TRIP_2430,0,0,2,7,117,0.57,97,2,5,0,29.99,0,3,62,70.12,Medium
DR_177,TRIP_2431,7,1,2,4,63,0.79,86,0,3,6,15.74,4,0,12,70.34,Low
DR_187,TRIP_2432,5,0,5,15,115,0.26,84,3,3,0,8.86,3,2,38,75.52,Low
DR_136,TRIP_2433,4,4,2,6,35,0.78,86,3,5,2,13.99,3,0,18,74.65,Medium
DR_243,TRIP_2434,6,1,0,19,12,0.79,86,2,5,4,7.6,0,1,28,65.07,Low
DR_212,TRIP_2435,8,7,3,31,117,0.75,71,3,4,2,28.42,3,2,62,57.24,High
DR_199,TRIP_2436,2,1,4,1,76,0.79,92,3,3,0,6.96,2,1,44,75.84,Low
DR_41,TRIP_2437,5,7,4,14,15,0.23,77,0,3,5,27.27,4,1,30,83.51,Medium
DR_258,TRIP_2438,9,7,3,29,32,0.86,69,2,0,0,38.94,3,1,33,57.99,Medium
DR_205,TRIP_2439,3,0,2,12,32,0.58,91,1,5,4,38.37,4,0,42,70.49,Medium
DR_107,TRIP_2440,10,4,3,26,65,0.8,72,1,2,1,36.76,0,1,27,77.51,Low
DR_108,TRIP_2441,8,3,2,0,68,0.23,83,2,3,4,38.43,0,2,29,74.38,Medium
DR_258,TRIP_2442,6,1,2,3,36,0.57,88,3,0,5,16.2,4,2,40,90.32,Medium
DR_195,TRIP_2443,2,7,2,33,49,0.3,80,0,4,1,19.06,3,2,15,83.13,High
DR_258,TRIP_2444,0,8,1,31,52,0.72,84,1,3,5,21.45,4,0,30,81.42,Low
DR_18,TRIP_2445,7,1,0,40,7,0.72,81,2,1,1,13.7,4,0,46,55.79,High
DR_58,TRIP_2446,7,8,4,36,2,0.29,69,2,5,4,15.16,4,3,19,63.3,High
DR_176,TRIP_2447,4,2,1,15,58,0.26,88,3,3,5,9.01,2,0,43,81.06,Medium
DR_160,TRIP_2448,0,7,3,18,51,0.64,85,0,0,4,35.35,1,2,44,97.28,Medium
DR_41,TRIP_2449,4,8,0,26,25,0.54,80,2,1,3,9.43,3,1,35,71.48,Low
DR_56,TRIP_2450,3,4,2,39,74,0.84,81,0,3,4,25.75,3,2,18,62.6,Low
DR_39,TRIP_2451,9,5,1,15,77,0.58,77,3,5,4,19.26,2,0,17,53.0,High
DR_193,TRIP_2452,1,3,2,32,108,0.78,87,0,1,5,15.86,2,1,21,52.96,Low
DR_100,TRIP_2453,6,8,3,10,15,0.72,77,3,0,3,14.11,2,0,23,62.04,Medium
DR_111,TRIP_2454,8,6,4,36,22,0.26,70,1,0,0,38.67,2,0,42,58.44,Low
DR_275,TRIP_2455,9,1,2,22,98,0.58,79,2,5,1,13.59,0,0,65,99.05,High
DR_94,TRIP_2456,6,0,3,25,28,0.25,83,0,2,0,19.52,4,0,38,77.67,Medium
DR_267,TRIP_2457,4,0,4,22,39,0.41,86,0,4,1,33.6,2,0,29,78.39,Medium
DR_206,TRIP_2458,3,2,5,19,33,0.54,84,2,0,5,6.22,3,2,32,74.83,Low
DR_214,TRIP_2459,8,5,4,17,117,0.63,75,0,0,5,18.59,3,2,54,68.22,Low
DR_291,TRIP_2460,3,2,4,9,99,0.41,87,1,1,3,15.23,0,2,26,74.88,Medium
DR_42,TRIP_2461,7,8,5,9,57,0.25,73,2,0,0,9.61,0,0,38,78.97,High
DR_105,TRIP_2462,8,4,0,8,44,0.14,82,0,0,4,22.63,3,3,15,53.46,High
DR_279,TRIP_2463,5,3,6,7,88,0.14,81,3,2,2,11.15,4,2,54,60.1,High
DR_275,TRIP_2464,4,7,4,32,52,0.44,75,0,4,1,18.47,3,0,62,88.33,High
DR_160,TRIP_2465,9,1,0,8,43,0.53,84,3,1,4,12.44,4,0,37,50.4,High
DR_291,TRIP_2466,5,1,5,34,78,0.15,79,0,4,1,33.13,3,3,39,53.21,Medium
DR_254,TRIP_2467,3,8,5,40,35,0.41,73,3,4,1,8.44,2,0,69,71.84,Medium
DR_234,TRIP_2468,5,7,3,19,62,0.79,77,1,1,4,9.7,2,3,48,74.23,High
DR_119,TRIP_2469,10,1,5,28,71,0.86,73,2,5,4,35.19,0,1,63,76.06,High
DR_256,TRIP_2470,3,2,0,11,78,0.51,91,0,5,1,21.4,0,2,14,89.79,Medium
DR_135,TRIP_2471,6,1,2,14,25,0.17,85,0,4,2,38.23,4,0,30,98.3,High
DR_214,TRIP_2472,7,5,4,21,120,0.47,75,3,0,1,9.25,2,1,54,78.76,Low
DR_207,TRIP_2473,3,7,0,7,116,0.16,86,3,4,4,21.63,2,1,45,59.89,Medium
DR_3,TRIP_2474,4,8,4,11,10,0.27,78,1,4,0,26.32,4,2,30,89.11,High
DR_58,TRIP_2475,6,5,5,22,81,0.41,76,3,5,1,23.37,2,3,69,72.61,Medium
DR_295,TRIP_2476,5,8,0,27,65,0.55,78,0,5,2,27.71,4,1,52,56.77,Low
DR_152,TRIP_2477,9,4,4,38,50,0.86,70,0,5,3,35.97,2,3,64,70.68,Medium
DR_202,TRIP_2478,4,7,1,7,63,0.85,84,0,5,5,36.57,0,1,55,97.37,High
DR_128,TRIP_2479,3,5,1,0,20,0.53,89,0,3,0,11.56,3,0,34,90.64,High
DR_240,TRIP_2480,3,1,2,5,103,0.12,92,2,4,1,28.97,4,2,27,55.52,Low
DR_258,TRIP_2481,7,5,2,13,60,0.25,79,3,0,2,33.86,3,2,26,55.82,Low
DR_261,TRIP_2482,10,4,1,29,32,0.77,74,0,1,3,14.99,2,2,33,93.75,Low
DR_39,TRIP_2483,1,2,1,36,114,0.2,88,1,5,6,21.03,2,0,61,96.52,High
DR_278,TRIP_2484,5,8,4,31,6,0.29,73,2,3,5,39.34,1,2,28,77.68,Low
DR_180,TRIP_2485,6,2,5,27,114,0.26,78,0,3,3,10.16,0,3,35,58.46,High
DR_250,TRIP_2486,0,7,3,20,94,0.65,85,0,1,1,14.69,4,0,12,62.41,High
DR_251,TRIP_2487,10,0,4,13,23,0.71,78,0,5,6,20.27,0,2,56,51.31,Medium
DR_246,TRIP_2488,5,5,2,3,16,0.2,84,2,4,1,14.96,4,0,36,54.86,Low
DR_215,TRIP_2489,9,8,0,5,7,0.61,76,1,0,1,9.28,4,3,39,76.83,High
DR_227,TRIP_2490,4,4,6,4,93,0.84,82,0,5,3,6.48,4,1,10,65.44,High
DR_205,TRIP_2491,0,1,2,21,83,0.22,93,2,2,5,13.28,2,0,61,51.15,Medium
DR_101,TRIP_2492,0,7,3,7,7,0.43,87,0,1,5,38.07,0,3,43,62.31,High
DR_207,TRIP_2493,7,4,6,10,59,0.58,77,1,2,1,16.83,0,1,67,91.8,Medium
DR_189,TRIP_2494,4,8,0,32,106,0.88,78,0,0,6,8.43,4,2,23,68.29,Low
DR_49,TRIP_2495,9,1,4,9,74,0.14,80,2,0,4,14.33,0,0,61,94.6,High
DR_117,TRIP_2496,6,7,6,9,27,0.65,75,1,0,3,14.89,3,3,26,91.3,Low
DR_17,TRIP_2497,7,1,6,36,103,0.72,75,1,0,0,37.4,4,0,25,59.19,Low
DR_208,TRIP_2498,9,6,6,7,68,0.13,72,0,2,0,20.06,4,1,40,68.85,Medium
DR_226,TRIP_2499,5,4,6,24,115,0.55,77,1,1,6,28.91,2,3,58,56.65,Low
DR_134,TRIP_2500,7,4,3,3,54,0.89,81,1,4,4,5.49,1,3,23,75.72,Medium
DR_185,TRIP_2501,1,0,1,30,115,0.24,92,1,4,0,9.07,4,2,44,88.32,High
DR_113,TRIP_2502,6,6,5,38,108,0.86,71,3,2,2,13.1,4,2,11,92.06,High
DR_72,TRIP_2503,8,4,6,31,19,0.19,71,1,5,3,32.3,4,0,23,83.76,Medium
DR_156,TRIP_2504,0,8,2,9,64,0.64,87,3,4,1,8.82,0,2,49,62.68,Low
DR_273,TRIP_2505,7,6,2,13,37,0.79,78,2,3,4,6.95,4,1,29,57.03,Medium
DR_13,TRIP_2506,2,8,6,13,43,0.54,79,1,3,3,17.56,0,0,45,73.15,Low
DR_34,TRIP_2507,6,0,2,37,4,0.86,82,0,2,4,34.98,3,3,69,62.34,Low
DR_112,TRIP_2508,7,2,0,13,3,0.22,85,1,2,2,17.82,4,0,66,53.27,Low
DR_73,TRIP_2509,4,5,4,8,106,0.18,82,2,3,2,36.13,4,3,60,53.92,High
DR_71,TRIP_2510,5,2,0,16,66,0.77,87,1,0,5,32.2,2,3,30,69.92,Medium
DR_64,TRIP_2511,3,0,0,7,79,0.63,95,2,0,2,8.26,3,3,18,54.09,High
DR_99,TRIP_2512,3,3,4,16,25,0.12,85,2,5,5,30.25,3,2,62,63.8,Low
DR_156,TRIP_2513,9,1,6,28,39,0.77,74,1,0,4,24.9,4,2,24,80.36,Medium
DR_115,TRIP_2514,2,4,5,22,15,0.54,83,0,2,4,34.02,3,2,25,51.56,Low
DR_142,TRIP_2515,9,3,4,25,50,0.61,74,0,0,3,26.12,1,3,20,64.22,High
DR_20,TRIP_2516,9,8,6,39,2,0.41,63,1,5,5,37.88,0,3,35,83.88,Low
DR_62,TRIP_2517,4,1,6,29,19,0.88,81,0,4,6,24.29,3,0,46,61.29,Low
DR_150,TRIP_2518,6,6,2,6,112,0.32,81,0,3,5,17.16,2,3,58,87.81,Low
DR_15,TRIP_2519,6,8,5,18,69,0.32,73,1,5,5,7.98,4,0,41,65.54,Medium
DR_229,TRIP_2520,2,8,3,37,62,0.77,77,0,5,3,6.03,3,0,59,67.31,High
DR_96,TRIP_2521,9,8,6,2,11,0.42,70,3,5,4,13.92,4,3,23,79.83,Medium
DR_50,TRIP_2522,2,8,0,24,39,0.12,83,2,2,6,26.4,2,1,53,66.59,Low
DR_25,TRIP_2523,8,3,0,31,15,0.21,79,2,1,3,38.5,3,1,52,77.46,Medium
DR_167,TRIP_2524,5,3,5,2,81,0.72,83,0,0,6,20.94,0,3,66,52.01,High
DR_1,TRIP_2525,7,5,1,31,2,0.25,77,1,0,2,24.77,1,2,68,50.54,Medium
DR_50,TRIP_2526,10,1,3,16,31,0.42,78,0,2,3,8.63,0,2,12,91.64,High
DR_115,TRIP_2527,0,2,0,9,10,0.66,96,0,1,6,27.78,2,1,53,93.53,Medium
DR_255,TRIP_2528,7,2,5,5,45,0.29,81,3,5,0,19.78,0,1,57,72.13,High
DR_199,TRIP_2529,5,1,1,40,33,0.8,83,2,5,5,12.72,2,3,60,78.76,Medium
DR_269,TRIP_2530,7,5,0,4,83,0.78,83,3,4,3,31.74,3,2,26,63.69,Low
DR_33,TRIP_2531,3,6,2,20,32,0.85,83,3,0,1,14.72,1,3,25,98.62,Low
DR_254,TRIP_2532,4,8,2,1,31,0.48,82,3,3,3,15.9,2,0,29,89.55,Medium
DR_272,TRIP_2533,9,2,1,6,3,0.84,82,0,0,2,39.18,0,2,32,83.39,Medium
DR_50,TRIP_2534,5,2,1,5,97,0.61,88,3,5,5,13.22,3,1,10,99.27,High
DR_211,TRIP_2535,9,0,1,40,5,0.32,78,2,0,4,27.78,2,1,60,62.24,Low
DR_73,TRIP_2536,2,8,4,18,35,0.39,80,0,4,1,19.87,2,0,16,68.09,Low
DR_287,TRIP_2537,6,0,1,2,55,0.44,90,0,3,3,31.19,4,0,26,92.68,Medium
DR_214,TRIP_2538,0,5,1,36,17,0.2,86,0,5,4,19.54,0,3,29,67.94,Medium
DR_136,TRIP_2539,4,7,0,30,55,0.8,80,1,1,4,35.61,1,3,45,65.04,Medium
DR_245,TRIP_2540,4,8,1,10,90,0.9,82,2,3,0,28.88,3,2,41,54.45,High
DR_187,TRIP_2541,5,5,6,6,43,0.45,79,0,0,6,9.03,3,3,47,90.91,High
DR_226,TRIP_2542,7,3,4,16,81,0.44,79,2,3,3,32.21,3,1,36,55.44,Low
DR_110,TRIP_2543,5,3,0,32,6,0.86,83,0,2,1,8.71,1,1,69,53.05,Medium
DR_186,TRIP_2544,6,8,4,34,116,0.14,71,0,2,5,12.75,4,1,64,81.88,High
DR_34,TRIP_2545,7,5,2,28,44,0.67,76,1,0,2,9.97,3,1,70,81.69,Medium
DR_168,TRIP_2546,3,1,5,31,48,0.45,83,0,4,6,35.66,1,2,14,67.87,High
DR_161,TRIP_2547,5,1,6,5,46,0.56,84,1,0,6,32.09,4,2,47,60.43,Medium
DR_268,TRIP_2548,3,5,4,24,53,0.59,81,2,5,5,16.84,0,0,57,53.99,High
DR_86,TRIP_2549,5,3,2,19,11,0.87,83,0,5,4,29.36,3,1,26,84.7,Medium
DR_285,TRIP_2550,8,7,6,11,117,0.86,71,1,3,1,5.1,4,1,55,95.76,Medium
DR_241,TRIP_2551,0,0,4,7,94,0.41,95,0,3,0,12.83,1,2,69,54.39,Low
DR_180,TRIP_2552,0,6,0,31,31,0.79,87,0,3,1,36.7,1,3,59,84.94,High
DR_143,TRIP_2553,3,1,4,36,38,0.37,83,2,0,2,32.36,3,0,64,53.64,Medium
DR_284,TRIP_2554,4,5,4,40,96,0.73,76,3,3,5,35.15,0,2,26,76.48,High
DR_205,TRIP_2555,0,5,3,32,72,0.13,85,1,4,2,17.24,2,3,52,93.5,High
DR_104,TRIP_2556,8,2,4,17,74,0.78,78,1,2,3,12.67,3,1,21,68.32,High
DR_222,TRIP_2557,10,0,4,9,67,0.66,79,1,5,5,28.51,0,0,33,89.17,Medium
DR_197,TRIP_2558,0,5,1,8,21,0.48,92,0,2,6,32.31,4,0,18,77.34,High
DR_18,TRIP_2559,5,4,5,33,119,0.57,76,1,4,2,19.64,3,0,47,71.4,Low
DR_201,TRIP_2560,1,4,1,1,90,0.37,93,3,4,2,19.58,3,3,69,71.55,High
DR_29,TRIP_2561,3,1,0,21,41,0.33,91,2,3,2,38.47,3,0,56,58.64,Low
DR_180,TRIP_2562,0,2,1,19,2,0.42,93,3,0,3,14.61,3,2,47,89.57,Medium
DR_70,TRIP_2563,10,6,3,7,107,0.3,74,1,4,2,33.86,3,1,23,78.87,High
DR_66,TRIP_2564,10,6,5,26,116,0.4,68,0,4,2,38.44,0,3,21,67.33,Medium
DR_271,TRIP_2565,3,3,3,7,17,0.11,88,0,2,0,36.25,0,2,63,90.97,Low
DR_124,TRIP_2566,2,6,0,16,8,0.78,87,1,3,2,26.53,3,3,41,78.65,Low
DR_108,TRIP_2567,5,6,6,29,100,0.44,73,1,1,6,11.64,3,3,24,69.16,Low
DR_105,TRIP_2568,5,2,1,4,39,0.75,89,3,5,2,20.36,3,0,52,84.92,Medium
DR_46,TRIP_2569,0,0,0,12,5,0.6,98,0,4,1,20.47,0,3,33,92.52,Low
DR_76,TRIP_2570,10,5,0,29,6,0.52,74,0,1,1,20.72,2,0,50,62.04,Low
DR_207,TRIP_2571,2,0,6,0,81,0.75,91,2,2,2,6.03,2,1,49,83.76,Low
DR_75,TRIP_2572,5,4,5,26,93,0.79,77,0,1,0,13.63,2,0,68,95.43,Low
DR_75,TRIP_2573,6,1,2,16,10,0.84,85,1,4,4,26.2,1,3,48,89.65,High
DR_116,TRIP_2574,10,8,1,23,94,0.63,70,2,0,1,14.45,3,2,13,64.34,Low
DR_95,TRIP_2575,3,8,3,33,0,0.41,76,1,2,0,18.32,0,3,22,68.07,High
DR_31,TRIP_2576,7,8,2,11,1,0.81,76,0,0,2,13.39,2,2,63,92.16,High
DR_141,TRIP_2577,9,1,3,9,84,0.67,81,1,0,5,36.44,2,2,59,95.36,Low
DR_249,TRIP_2578,7,4,5,13,27,0.12,77,0,4,5,33.56,3,0,35,85.25,High
DR_288,TRIP_2579,9,4,6,38,41,0.74,68,0,5,0,24.11,1,3,56,83.73,High
DR_99,TRIP_2580,0,3,5,9,8,0.76,90,2,3,0,21.67,2,3,16,51.86,Medium
DR_190,TRIP_2581,9,6,2,20,55,0.28,74,3,5,2,36.48,4,3,54,71.91,Medium
DR_205,TRIP_2582,2,6,2,22,57,0.53,84,1,2,4,14.11,1,2,54,83.64,Medium
DR_292,TRIP_2583,1,8,0,7,77,0.36,88,1,5,4,15.6,2,1,35,63.28,Low
DR_163,TRIP_2584,8,3,4,2,111,0.64,80,3,3,1,20.2,0,0,40,53.24,High
DR_183,TRIP_2585,8,2,2,18,98,0.86,80,0,2,2,7.94,2,3,50,61.23,High
DR_77,TRIP_2586,8,6,6,36,23,0.72,67,2,0,4,36.58,1,3,69,62.57,High
DR_202,TRIP_2587,6,2,1,7,11,0.55,87,2,0,4,32.34,2,3,18,78.59,Medium
DR_80,TRIP_2588,7,4,2,6,81,0.82,82,3,4,2,10.19,2,3,28,63.42,High
DR_93,TRIP_2589,2,6,5,19,3,0.6,81,3,5,4,18.04,0,0,61,76.58,High
DR_13,TRIP_2590,6,8,3,39,21,0.31,71,2,5,6,13.76,4,2,42,52.0,High
DR_76,TRIP_2591,0,0,2,39,88,0.4,90,0,0,6,13.6,2,0,46,72.86,Low
DR_125,TRIP_2592,3,3,3,31,113,0.79,83,2,1,2,32.57,1,1,16,83.54,Medium
DR_40,TRIP_2593,10,5,1,31,45,0.24,72,0,1,2,38.75,2,1,37,79.24,Low
DR_161,TRIP_2594,6,5,6,22,90,0.45,74,3,2,6,11.77,1,3,11,70.77,Medium
DR_180,TRIP_2595,9,5,4,22,118,0.68,72,1,4,2,27.51,3,1,42,74.5,Medium
DR_276,TRIP_2596,3,0,3,15,21,0.34,90,3,2,2,14.67,4,3,15,89.03,High
DR_140,TRIP_2597,3,4,5,32,100,0.42,79,3,1,4,29.37,0,2,31,74.95,Medium
DR_236,TRIP_2598,9,8,3,39,85,0.11,66,3,5,5,7.69,3,0,37,57.65,Low
DR_21,TRIP_2599,4,2,3,12,47,0.74,86,3,1,3,12.51,1,1,34,63.32,High
DR_198,TRIP_2600,4,0,5,31,92,0.56,83,3,0,1,39.46,1,2,30,56.94,High
DR_10,TRIP_2601,3,6,1,10,53,0.27,86,3,2,2,16.64,1,2,29,94.08,Low
DR_90,TRIP_2602,0,7,5,28,78,0.39,81,2,2,2,37.53,1,3,23,77.59,Low
DR_270,TRIP_2603,0,0,4,27,66,0.81,91,1,0,6,12.58,2,1,62,98.49,Medium
DR_112,TRIP_2604,3,0,4,7,111,0.71,90,0,4,2,9.88,0,1,19,96.28,High
DR_3,TRIP_2605,7,8,2,19,104,0.71,74,0,1,3,25.18,3,3,30,79.27,High
DR_88,TRIP_2606,5,0,2,7,108,0.76,89,1,2,6,15.91,3,1,52,63.12,High
DR_234,TRIP_2607,5,5,0,21,89,0.69,83,1,2,6,22.44,1,2,28,99.03,Low
DR_184,TRIP_2608,7,0,1,29,89,0.5,83,1,0,1,7.76,3,1,39,62.32,Low
DR_36,TRIP_2609,2,8,5,29,45,0.33,77,2,1,1,21.51,0,2,26,72.8,Medium
DR_151,TRIP_2610,2,0,6,24,53,0.5,86,1,3,2,34.02,2,3,23,89.53,Low
DR_166,TRIP_2611,3,8,5,21,114,0.71,77,2,1,3,6.68,3,1,69,69.11,Medium
DR_22,TRIP_2612,5,3,0,24,98,0.35,85,3,2,5,32.83,2,0,65,70.78,Low
DR_236,TRIP_2613,6,0,0,25,67,0.64,86,3,1,0,8.21,1,2,60,69.59,High
DR_22,TRIP_2614,10,0,2,8,116,0.11,82,0,1,4,26.38,2,0,39,83.92,Medium
DR_124,TRIP_2615,10,8,6,3,84,0.3,69,2,0,2,20.58,3,3,49,51.88,High
DR_6,TRIP_2616,1,0,6,28,34,0.75,87,0,2,2,32.71,0,2,55,52.1,Low
DR_265,TRIP_2617,1,2,2,10,77,0.51,92,0,0,3,24.73,3,1,22,87.88,High
DR_140,TRIP_2618,3,5,0,32,16,0.31,84,3,2,3,5.41,2,0,20,90.61,Medium
DR_155,TRIP_2619,7,7,2,2,64,0.47,79,1,2,1,16.14,2,0,57,58.3,Medium
DR_220,TRIP_2620,4,4,2,25,31,0.89,82,0,5,1,30.07,2,3,21,55.99,Medium
DR_206,TRIP_2621,2,7,1,12,96,0.86,86,0,5,2,33.43,3,2,66,71.31,Low
DR_162,TRIP_2622,4,3,5,12,29,0.79,83,0,5,2,21.95,0,0,30,50.86,High
DR_115,TRIP_2623,7,1,3,0,9,0.47,85,3,4,4,5.79,4,3,58,69.44,High
DR_222,TRIP_2624,3,4,4,10,106,0.16,85,0,4,0,29.61,2,3,28,81.13,Medium
DR_120,TRIP_2625,1,1,5,31,101,0.88,86,1,5,5,26.64,1,2,16,95.84,Low
DR_13,TRIP_2626,10,8,1,19,34,0.54,71,2,0,4,39.72,2,0,55,54.97,Medium
DR_203,TRIP_2627,7,0,0,22,66,0.12,86,0,4,4,9.11,3,3,34,66.27,High
DR_36,TRIP_2628,5,5,0,16,91,0.76,84,1,5,4,35.39,3,3,48,85.46,High
DR_52,TRIP_2629,10,6,5,26,95,0.89,68,1,1,5,23.77,0,2,30,94.82,Low
DR_190,TRIP_2630,8,8,1,31,69,0.19,72,1,2,2,15.77,2,3,43,89.67,Medium
DR_95,TRIP_2631,10,1,6,11,114,0.36,75,3,0,4,13.74,4,1,41,57.76,Medium
DR_211,TRIP_2632,2,5,6,22,113,0.25,80,0,5,3,20.53,3,1,67,58.85,Medium
DR_34,TRIP_2633,3,6,2,17,87,0.71,83,0,2,6,10.8,2,1,46,62.33,Low
DR_129,TRIP_2634,10,4,1,16,69,0.29,76,3,5,3,5.85,1,3,60,86.13,High
DR_199,TRIP_2635,7,5,4,7,0,0.5,78,0,1,4,10.3,3,2,35,55.35,Low
DR_243,TRIP_2636,2,3,6,24,109,0.78,82,0,4,1,32.86,3,3,67,96.43,Low
DR_141,TRIP_2637,3,2,4,28,13,0.64,84,3,5,3,37.6,2,1,25,88.31,Low
DR_176,TRIP_2638,2,4,4,34,82,0.9,81,1,1,0,38.65,0,3,63,87.35,Low
DR_44,TRIP_2639,0,2,2,10,2,0.67,94,2,2,5,11.51,0,2,68,96.42,Low
DR_97,TRIP_2640,5,2,4,38,50,0.16,79,3,5,2,19.81,3,3,64,83.88,Medium
DR_265,TRIP_2641,2,7,6,1,3,0.11,82,2,0,1,13.99,0,3,27,99.4,Low
DR_152,TRIP_2642,3,5,0,9,76,0.15,88,0,5,4,22.66,4,2,27,74.59,Medium
DR_12,TRIP_2643,4,6,4,17,93,0.29,79,3,0,6,10.88,3,3,48,51.13,Low
DR_76,TRIP_2644,7,2,1,30,115,0.72,80,2,4,0,16.16,1,1,34,93.49,High
DR_13,TRIP_2645,8,0,0,6,4,0.27,87,1,1,5,37.92,0,0,28,59.97,Low
DR_86,TRIP_2646,7,3,3,24,6,0.57,78,2,3,5,8.69,3,0,62,71.75,High
DR_144,TRIP_2647,6,4,1,27,106,0.37,80,2,2,3,37.71,1,2,32,93.81,High
DR_21,TRIP_2648,0,4,5,39,114,0.34,82,3,0,3,36.94,4,0,12,76.88,High
DR_25,TRIP_2649,3,3,6,12,73,0.85,83,2,5,2,24.59,0,3,19,99.2,Low
DR_59,TRIP_2650,4,3,3,28,25,0.6,82,2,0,6,17.13,3,0,45,61.2,Low
DR_46,TRIP_2651,4,3,4,17,60,0.36,83,1,3,6,22.48,3,1,50,91.44,High
DR_153,TRIP_2652,2,8,5,33,29,0.88,76,2,4,0,11.3,1,0,31,86.48,Medium
DR_203,TRIP_2653,2,5,0,7,73,0.17,90,2,5,3,35.64,4,1,15,79.22,High
DR_198,TRIP_2654,0,8,2,20,116,0.18,85,0,4,5,28.22,4,0,33,50.86,Medium
DR_126,TRIP_2655,0,1,2,12,50,0.75,95,3,1,3,26.03,0,2,29,77.56,Low
DR_23,TRIP_2656,3,5,6,26,0,0.41,78,0,2,0,8.71,3,1,65,77.96,High
DR_163,TRIP_2657,5,6,3,10,35,0.62,80,2,4,6,9.51,2,1,55,60.75,High
